"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User login with wrong email or password","LMS system","Mon Mar 09 13:44:22 UTC 2026","broken","Mon Mar 09 13:44:22 UTC 2026","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Mon Mar 09 13:44:22 UTC 2026","broken","Mon Mar 09 13:44:22 UTC 2026","Authorization","Authentication","",""
"","0","Registration with correct email, username and password","LMS system","Mon Mar 09 13:44:23 UTC 2026","broken","Mon Mar 09 13:44:23 UTC 2026","Registration","Authentication","",""
"","0","User login with correct email and password","LMS system","Mon Mar 09 13:44:22 UTC 2026","broken","Mon Mar 09 13:44:22 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Mon Mar 09 13:44:23 UTC 2026","broken","Mon Mar 09 13:44:23 UTC 2026","Dashboard","Dashboard","",""
"","0","Edit course","LMS system","Mon Mar 09 13:44:23 UTC 2026","broken","Mon Mar 09 13:44:23 UTC 2026","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Mon Mar 09 13:44:22 UTC 2026","broken","Mon Mar 09 13:44:22 UTC 2026","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Mon Mar 09 13:44:23 UTC 2026","broken","Mon Mar 09 13:44:23 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Mon Mar 09 13:44:23 UTC 2026","broken","Mon Mar 09 13:44:23 UTC 2026","Courses","Courses","",""
"","0","Check displaying of empty courses list","LMS system","Mon Mar 09 13:44:23 UTC 2026","broken","Mon Mar 09 13:44:23 UTC 2026","Courses","Courses","",""
